ts,data
1714167243084659,2.41816
1714167243089704,2.46469
1714167243092451,2.49664
1714167243096396,2.51513
1714167243100451,2.55493
1714167243105608,2.54148
1714167243108508,2.56278
1714167243112787,2.54148
1714167243116329,2.54652
1714167243120416,2.52578
1714167243124385,2.54484
1714167243128401,2.52186
1714167243132342,2.5213
1714167243136369,2.53195
1714167243140799,2.53195
1714167243144607,2.54428
1714167243148320,2.55605
1714167243154258,2.58072
1714167243160610,2.56446
1714167243164543,2.59025
1714167243168384,2.55549
1714167243172490,2.5398
1714167243176374,2.53307
1714167243180361,2.49608
1714167243184357,2.38733
1714167243188388,2.34529
1714167243192462,2.30269
1714167243198688,2.18217
1714167243202367,2.09641
1714167243206383,2.04092
1714167243210368,1.98767
1714167243214382,1.88061
1714167243218402,1.82455
1714167243222338,1.78924
1714167243226872,1.7713
1714167243230649,1.7343
1714167243234736,1.72814
1714167243238334,1.73767
1714167243242362,1.73935
1714167243247151,1.75392
1714167243251116,1.79709
1714167243254361,1.85202
1714167243258396,1.88117
1714167243263371,1.912
1714167243267975,1.97758
1714167243275905,2.05661
1714167243281010,2.07455
1714167243284760,2.07175
1714167243290354,2.10987
1714167243296588,2.14013
1714167243300633,2.15471
1714167243306581,2.22422
1714167243312864,2.24944
1714167243316406,2.30493
1714167243320737,2.40078
1714167243324357,2.44675
1714167243328349,2.49103
1714167243340421,2.61603
1714167243344335,2.67545
1714167243348392,2.67937
1714167243355109,2.66648
1714167243358565,2.64462
1714167243362400,2.63173
1714167243366465,2.61491
1714167243376146,2.47029
1714167243380493,2.42601
1714167243384462,2.37724
1714167243388690,2.34978
1714167243392972,2.31558
1714167243396676,2.30437
1714167243400600,2.29316
1714167243404458,2.26233
1714167243408424,2.25504
1714167243412400,2.25392
1714167243416395,2.26289
1714167243420426,2.24608
1714167243424739,2.23879
1714167243428447,2.21188
1714167243433464,2.19339
1714167243436463,2.17993
1714167243441114,2.11771
1714167243444971,2.088
1714167243449424,2.06166
1714167243452636,1.95684
1714167243458388,1.91143
1714167243463635,1.89574
1714167243467938,1.8324
1714167243472302,1.81895
1714167243476319,1.80045
1714167243480687,1.79877
1714167243484288,1.82287
1714167243488573,1.85202
1714167243495348,1.96581
1714167243503553,1.98206
1714167243506340,2.02074
1714167243510284,2.06334
1714167243514388,2.14013
1714167243518311,2.1648
1714167243522261,2.19563
1714167243526266,2.20964
1714167243530307,2.22982
1714167243534267,2.22926
1714167243538282,2.24888
1714167243542281,2.24159
1714167243546502,2.22814
1714167243550265,2.20852
1714167243554268,2.17713
1714167243560237,2.17713
1714167243564319,2.21076
1714167243568274,2.21469
1714167243572297,2.22534
1714167243576355,2.23655
1714167243580795,2.27859
1714167243584396,2.30045
1714167243588249,2.32511
1714167243592509,2.33969
1714167243598278,2.33072
1714167243606261,2.30157
1714167243610345,2.27971
1714167243614248,2.19451
1714167243618265,2.15751
1714167243622332,2.12388
1714167243626374,2.06446
1714167243630233,2.01682
1714167243634297,1.90639
1714167243639445,1.838
1714167243642361,1.79204
1714167243646325,1.77018
1714167243650251,1.73094
1714167243654336,1.70684
1714167243658330,1.69283
1714167243662273,1.7046
1714167243666259,1.71861
1714167243670407,1.75224
1714167243674315,1.82231
1714167243679648,1.85314
1714167243682350,1.87332
1714167243686274,1.93274
1714167243690294,2.00673
1714167243694524,2.05998
1714167243698316,2.07007
1714167243702252,2.10538
1714167243706343,2.12388
1714167243710731,2.15807
1714167243714818,2.162
1714167243718225,2.18386
1714167243722271,2.1917
1714167243726299,2.18498
1714167243730415,2.19002
1714167243738297,2.20179
1714167243743129,2.19843
1714167243746293,2.19899
1714167243752889,2.21413
1714167243757058,2.21973
1714167243760409,2.22197
1714167243764210,2.23991
1714167243768277,2.24664
1714167243772278,2.23767
1714167243776218,2.23543
1714167243780333,2.25448
1714167243784270,2.24608
1714167243789392,2.22085
1714167243794640,2.19563
1714167243800987,2.15583
1714167243804387,2.1435
1714167243808270,2.09417
1714167243812273,2.08296
1714167243816301,2.03868
1714167243820323,2.01626
1714167243824373,1.97646
1714167243828224,1.95572
1714167243832345,1.93049
1714167243836552,1.90527
1714167243840294,1.88004
1714167243844782,1.85202
1714167243849378,1.83408
1714167243852268,1.8296
1714167243856249,1.80942
1714167243860271,1.79765
1714167243864216,1.80493
1714167243871398,1.76738
1714167243874323,1.74888
1714167243878261,1.75841
1714167243882283,1.75448
1714167243886284,1.75729
1714167243890261,1.74159
1714167243894257,1.72478
1714167243898251,1.71076
1714167243902257,1.69114
1714167243910418,1.7046
1714167243914287,1.7046
1714167243919755,1.73991
1714167243922267,1.76065
1714167243926231,1.77691
1714167243930164,1.8139
1714167243934199,1.90135
1714167243938289,1.93442
1714167243942253,1.98038
1714167243946284,2.03531
1714167243950310,2.11715
