ts,t1,t2,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1717880562408096,-54,-168,4,842222434,0,268270758
1717880562561129,0,-168,4,842375468,0,268423792
1717880562717215,0,-168,4,842531551,0,268579875
1717880562869176,0,-168,4,842683514,0,268731838
1717880563024224,0,-168,4,842838557,0,268886881
1717880563177206,0,-168,4,842991544,0,269039868
1717880563282379,0,-168,4,843096672,0,269144996
1717880563434163,0,-168,4,843248501,0,269296825
1717880563591218,0,-168,4,843405555,0,269453879
1717880563701162,0,-168,4,843515441,0,269563765
1717880563852144,0,-168,4,843666481,0,269714805
1717880564009080,0,-168,4,843823419,0,269871743
1717880564114732,-54,-168,4,843929027,0,269977351
1717880564267568,0,-168,4,844081903,0,270130227
1717880564421136,0,-168,4,844235474,0,270283798
1717880564582111,0,-112,4,844396448,0,270444772
1717880564683369,0,-112,4,844497652,0,270545976
1717880564840098,0,-168,4,844654436,0,270702760
1717880565050214,0,-168,4,844864551,0,270912875
1717880565155394,0,-112,4,844969686,0,271018010
1717880565363087,0,-112,4,845177421,0,271225745
1717880565464369,0,-112,4,845278688,0,271327012
1717880565616218,0,-112,4,845430556,0,271478880
1717880565773217,0,-168,4,845587554,0,271635878
1717880565930218,-54,-112,4,845744556,0,271792880
1717880566087485,0,-168,4,845901822,0,271950146
1717880566240599,0,-168,4,846054937,0,272103261
1717880566341788,0,-168,4,846156071,0,272204395
1717880566493721,54,-168,4,846308021,0,272356345
1717880566647220,0,-168,4,846461501,0,272509825
1717880566799143,0,-168,4,846613476,0,272661800
1717880566956109,0,-168,4,846770447,0,272818771
1717880567112084,0,-168,4,846926423,0,272974747
1717880567268097,0,-168,4,847082435,0,273130759
1717880567419227,0,-168,4,847233555,0,273281879
1717880567572097,0,-168,4,847386436,0,273434760
1717880567728220,0,-168,4,847542558,0,273590882
1717880567888226,0,-168,4,847702561,0,273750885
1717880568046102,0,-168,4,847860440,0,273908764
1717880568197226,0,-112,4,848011555,0,274059879
1717880568350079,0,-112,4,848164418,0,274212742
1717880568506083,-54,-112,4,848320422,0,274368746
1717880568658097,-54,-112,4,848472434,0,274520758
1717880568811222,0,-112,4,848625559,0,274673883
1717880568917446,0,-112,4,848731785,0,274780109
1717880569070585,0,-112,4,848884887,0,274933211
1717880569223379,0,-168,4,849037715,0,275086039
1717880569376534,0,-112,4,849190860,0,275239184
1717880569479246,0,-112,4,849293549,0,275341873
1717880569640080,-54,-112,4,849454418,0,275502742
1717880569792223,0,-168,4,849606560,0,275654884
1717880569945214,0,-168,4,849759551,0,275807875
1717880570103218,0,-168,4,849917554,0,275965878
1717880570254289,0,-168,4,850068628,0,276116952
1717880570411097,0,-168,4,850225434,0,276273758
1717880570562096,0,-112,4,850376434,0,276424758
1717880570718210,0,-112,4,850532548,0,276580872
1717880570874225,0,-112,4,850688555,0,276736879
1717880571031205,0,-168,4,850845543,0,276893867
1717880571183264,0,-168,4,850997556,0,277045880
1717880571340223,0,-112,4,851154560,0,277202884
1717880571497367,0,-112,4,851311705,0,277360029
1717880571599493,0,-112,4,851413828,0,277462152
1717880571752400,-54,-112,4,851566737,0,277615061
1717880571905429,0,-112,4,851719767,0,277768091
1717880572062167,0,-112,4,851876503,0,277924827
1717880572214289,0,-112,4,852028583,0,278076907
1717880572367224,-54,-112,4,852181561,0,278229885
1717880572520100,0,-112,4,852334439,0,278382763
1717880572676081,0,-112,4,852490420,0,278538744
1717880572833096,0,-112,4,852647434,0,278695758
1717880572988096,0,-168,4,852802434,0,278850758
1717880573140096,0,-168,4,852954434,0,279002758
1717880573245270,0,-168,4,853059589,0,279107913
1717880573450223,0,-168,4,853264560,0,279312884
1717880573610115,0,-168,4,853424453,0,279472777
1717880573762112,0,-168,4,853576449,0,279624773
1717880573868079,54,-168,4,853682418,0,279730742
1717880574020227,0,-168,4,853834563,0,279882887
1717880574171381,0,-168,4,853985668,0,280033992
1717880574328588,0,-168,4,854142865,0,280191189
1717880574430562,-54,-112,4,854244861,0,280293185
1717880574583366,0,-112,4,854397703,0,280446027
1717880574736492,0,-168,4,854550824,0,280599148
1717880574838723,0,-112,4,854653011,0,280701335
1717880574990484,0,-112,4,854804820,0,280853144
1717880575143088,0,-168,4,854957427,0,281005751
1717880575297144,0,-168,4,855111483,0,281159807
1717880575458343,0,-168,4,855272641,0,281320965
1717880575615096,0,-168,4,855429434,0,281477758
1717880575766096,0,-168,4,855580434,0,281628758
1717880575922096,0,-168,4,855736434,0,281784758
1717880576079079,0,-168,4,855893418,0,281941742
1717880576229281,0,-168,4,856043567,0,282091891
1717880576382322,0,-168,4,856196621,0,282244945
1717880576534291,0,-168,4,856348629,0,282396953
1717880576690298,0,-168,4,856504609,0,282552933
1717880576792142,0,-168,4,856606479,0,282654803
1717880576944160,0,-168,4,856758499,0,282806823
1717880577100214,0,-168,4,856914552,0,282962876
1717880577260272,-54,-168,4,857074555,0,283122879
1717880577417364,0,-168,4,857231701,0,283280025
1717880577569442,54,-168,4,857383778,0,283432102
1717880577670795,0,-168,4,857485075,0,283533399
1717880577873140,0,-168,4,857687478,0,283735802
1717880578025136,0,-168,4,857839474,0,283887798
1717880578176486,0,-168,4,857990823,0,284039147
1717880578328487,0,-168,4,858142824,0,284191148
1717880578431224,0,-168,4,858245563,0,284293887
1717880578587195,0,-112,4,858401533,0,284449857
1717880578743139,0,-112,4,858557477,0,284605801
1717880578900079,0,-112,4,858714418,0,284762742
1717880579053137,0,-112,4,858867474,0,284915798
1717880579204216,0,-112,4,859018553,0,285066877
1717880579310138,0,-112,4,859124476,0,285172800
1717880579467096,0,-168,4,859281434,0,285329758
1717880579623130,-54,-168,4,859437469,0,285485793
1717880579777097,0,-168,4,859591435,0,285639759
1717880579928339,-54,-168,4,859742657,0,285790981
1717880580080135,-54,-225,4,859894472,0,285942796
1717880580287078,0,-168,4,860101417,0,286149741
1717880580440079,0,-168,4,860254418,0,286302742
1717880580592079,0,-168,4,860406418,0,286454742
1717880580748208,0,-168,4,860562547,0,286610871
1717880580899079,0,-168,4,860713418,0,286761742
1717880581051210,0,-168,4,860865543,0,286913867
1717880581204096,0,-168,4,861018434,0,287066758
1717880581358484,0,-168,4,861172821,0,287221145
1717880581460485,0,-112,4,861274823,0,287323147
1717880581613736,0,-112,4,861428019,0,287476343
1717880581766417,-54,-112,4,861580756,0,287629080
1717880581868586,0,-168,4,861682921,0,287731245
1717880582020488,0,-168,4,861834824,0,287883148
1717880582174110,-54,-168,4,861988449,0,288036773
1717880582275228,0,-168,4,862089565,0,288137889
1717880582487272,0,-112,4,862301563,0,288349887
1717880582590173,0,-112,4,862404486,0,288452810
1717880582746228,0,-112,4,862560562,0,288608886
1717880582898272,0,-112,4,862712609,0,288760933
1717880582999187,54,-112,4,862813485,0,288861809
1717880583159192,0,-112,4,862973530,0,289021854
1717880583311122,0,-112,4,863125460,0,289173784
1717880583466163,0,-112,4,863280501,0,289328825
1717880583618183,0,-112,4,863432521,0,289480845
1717880583774257,0,-112,4,863588594,0,289636918
1717880583935096,0,-112,4,863749434,0,289797758
1717880584090365,0,-112,4,863904702,0,289953026
1717880584243433,0,-168,4,864057770,0,290106094
1717880584396469,0,-168,4,864210807,0,290259131
1717880584549662,0,-168,4,864363959,0,290412283
1717880584650580,0,-168,4,864464902,0,290513226
1717880584852421,0,-168,4,864666760,0,290715084
1717880585004371,0,-168,4,864818708,0,290867032
1717880585158217,0,-225,4,864972555,0,291020879
1717880585314079,0,-225,4,865128418,0,291176742
1717880585466110,0,-225,4,865280448,0,291328772
1717880585619136,0,-225,4,865433474,0,291481798
1717880585775082,0,-225,4,865589420,0,291637744
1717880585880217,0,-168,4,865694555,0,291742879
1717880586036215,0,-168,4,865850554,0,291898878
1717880586193096,0,-168,4,866007434,0,292055758
1717880586344140,0,-168,4,866158479,0,292206803
1717880586496142,-54,-168,4,866310479,0,292358803
1717880586649317,0,-168,4,866463655,0,292511979
1717880586805084,0,-168,4,866619423,0,292667747
1717880586965097,0,-168,4,866779434,0,292827758
1717880587116138,-54,-168,4,866930475,0,292978799
1717880587277484,0,-168,4,867091821,0,293140145
1717880587430379,54,-112,4,867244718,0,293293042
1717880587583365,0,-112,4,867397702,0,293446026
1717880587735433,0,-112,4,867549770,0,293598094
1717880587887392,0,-112,4,867701730,0,293750054
1717880588042143,-54,-112,4,867856480,0,293904804
1717880588148327,0,-112,4,867962664,0,294010988
1717880588304079,0,-112,4,868118418,0,294166742
1717880588459323,-54,-112,4,868273644,0,294321968
1717880588561384,0,-112,4,868375665,0,294423989
1717880588714096,0,-112,4,868528434,0,294576758
1717880588866376,0,-112,4,868680658,0,294728982
1717880589023109,0,-168,4,868837447,0,294885771
1717880589176079,0,-168,4,868990418,0,295038742
1717880589328085,0,-168,4,869142419,0,295190743
1717880589481205,0,-168,4,869295542,0,295343866
1717880589639117,0,-168,4,869453454,0,295501778
1717880589745186,0,-168,4,869559524,0,295607848
1717880589896213,0,-168,4,869710551,0,295758875
1717880590049303,0,-168,4,869863586,0,295911910
1717880590208092,0,-112,4,870022427,0,296070751
1717880590360209,0,-112,4,870174547,0,296222871
1717880590466732,0,-112,4,870281013,0,296329337
1717880590624096,0,-112,4,870438434,0,296486758
